Website,Name,Price,Ratings,Time,Link
Amazon,"Samsung Galaxy A03 Black, 3GB RAM, 32GB Storage with No Cost EMI/Additional Exchange Offers",9999,3.9,NA,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09TKTXNZB/ref=sr_1_11?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-11
Amazon,"Samsung Galaxy A32 (Black 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",17999,4.0,NA,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09LS1P2FB/ref=sr_1_12?dib=eyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c&dib_tag=se&keywords=Samsung+M32+64GB+ROM+4+GB+RAM&qid=1712120192&sr=8-12
Amazon,"TECNO POP 8 (Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor",6799,4.1,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYwNzQ4NzEyNDg3MDkzOjE3MTIxMjAxOTI6c3BfbXRmOjMwMDExNzc1MDY0NzczMjo6MDo6&url=%2FMystery-Speakers-Fingerprint-Octa-Core-Processor%2Fdp%2FB0CQ7SHTF4%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c%26dib_tag%3Dse%26keywords%3DSamsung%2BM32%2B64GB%2BROM%2B4%2BGB%2BRAM%26qid%3D1712120192%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Amazon,"Samsung Galaxy A04s (Green, 4GB RAM, 64GB Storage)",10000,1.0,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYwNzQ4NzEyNDg3MDkzOjE3MTIxMjAxOTI6c3BfbXRmOjMwMDE1MTU2MjE2OTQzMjo6MDo6&url=%2FSamsung-Galaxy-A04s-Green-Storage%2Fdp%2FB0CGHXSYBX%2Fref%3Dsr_1_14_sspa%3Fdib%3DeyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c%26dib_tag%3Dse%26keywords%3DSamsung%2BM32%2B64GB%2BROM%2B4%2BGB%2BRAM%26qid%3D1712120192%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Amazon,"IAIR D22 Multimedia Feature Keypad Mobile Basic Bar Phone with Dual SIM Card with 1200 mAh Battery,MP3, Multi Language Support Keypad Phone-Blue",849,3.7,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYwNzQ4NzEyNDg3MDkzOjE3MTIxMjAxOTI6c3BfbXRmOjMwMDE1MzA0ODkzMzEzMjo6MDo6&url=%2FIAIR-Multimedia-Feature-Language-Phone-Blue%2Fdp%2FB09NQ8BDTC%2Fref%3Dsr_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c%26dib_tag%3Dse%26keywords%3DSamsung%2BM32%2B64GB%2BROM%2B4%2BGB%2BRAM%26qid%3D1712120192%26sr%3D8-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Amazon,IAIR D25 Dual Sim Keypad Phone | 2800 mAH Battery & Big 1.77 Inch Display | Big Torch Light | Wireless FM & Rear Camera | Auto Call Recording | Dual Sim Support | 32 MB Ram & Storage (Blue),849,3.8,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYwNzQ4NzEyNDg3MDkzOjE3MTIxMjAxOTI6c3BfbXRmOjMwMDE1MzA0ODkzMzIzMjo6MDo6&url=%2FIAIR-Display-Storage-Recording-Feature%2Fdp%2FB0B2WD4KT2%2Fref%3Dsr_1_16_sspa%3Fdib%3DeyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c%26dib_tag%3Dse%26keywords%3DSamsung%2BM32%2B64GB%2BROM%2B4%2BGB%2BRAM%26qid%3D1712120192%26sr%3D8-16-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Amazon,IAIR D10 Mini Dual Sim Keypad Phone | 1800 mAH Battery & Big 1.88 Inch Display | Big Torch Light | Wireless FM & Rear Camera | Auto Call Recording| 32 MB Ram & Expandable 128gb Storage (Black),949,3.2,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODYwNzQ4NzEyNDg3MDkzOjE3MTIxMjAxOTI6c3BfYnRmOjMwMDE1MzA0ODkzMzAzMjo6MDo6&url=%2FIAIR-Display-Storage-Recording-Feature%2Fdp%2FB09HK5R98W%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.uEiz9BQoyT8NlT_oJvTq5H0y1oQxlcU3gjjqx_o9x52xxcodXjf2eu8zX_PSlJbV_uZro4dQER4N27yqLGCOC5vty1MxG-qNpUbWiF01kfpZzeu_zeGMgRoIOItuDANIIpbihXKVdDAyJgUJx9HQEBhhIJWy7Fg0_lCfGn-l0g5LPB88Yf7dSv3r7fw5hTTN.P86hBCu40XWoxhBnRYsfhsAKgqpXSV9c3a4wJetjK7c%26dib_tag%3Dse%26keywords%3DSamsung%2BM32%2B64GB%2BROM%2B4%2BGB%2BRAM%26qid%3D1712120192%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Flipkart,"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)",14499,4.1,"7 Apr, Sunday",https://www.flipkart.com/samsung-galaxy-m32-prime-light-blue-64-gb/p/itm427474f057bae?pid=MOBGHDXFE6HSCMEE&lid=LSTMOBGHDXFE6HSCMEEOFGY5R&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBGHDXFE6HSCMEE.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)",14499,4.1,"7 Apr, Sunday",https://www.flipkart.com/samsung-galaxy-m32-prime-light-blue-64-gb/p/itme6e1ee5391a86?pid=MOBGJXT47JHENX2E&lid=LSTMOBGJXT47JHENX2EG6X4HB&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBGJXT47JHENX2E.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy M32 (Black, 128 GB)",15999,4.2,"7 Apr, Sunday",https://www.flipkart.com/samsung-galaxy-m32-black-128-gb/p/itm77d1ed8f6add7?pid=MOBGHDXF5NSPFNUY&lid=LSTMOBGHDXF5NSPFNUYOOSLPS&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBGHDXF5NSPFNUY.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
